,0
0,More Results:
1,Have you run this race?
2,Then tell us about it.
3,"Last Name, First Name"
4,(Sex/Age) Time OverAll
5,Place Sex Place
6,/
7,"Div Place DIV City, State, Country BQ*"
8,Dickson Chumba (M) 2:09:25 1 1 / 1 M25-29 KEN BQ
0,Sammy Kitwara (M) 2:09:50 2 2 / 2 M25-29 KEN BQ
1,Sammy Ndungu (M) 2:10:06 3 3 / 3 M25-29 KEN BQ
2,Girmay Birhanu Gebru (M) 2:10:07 4 4 / 4 M25-29 ETH BQ
3,Luke Puskedra (M) 2:10:24 5 5 / 5 M25-29 USA BQ
4,Wesley Korir (M) 2:10:39 6 6 / 1 M30-34 KEN BQ
5,Elkanah Kibet (M) 2:11:31 7 7 / 6 M25-29 USA BQ
6,Lucas Rotich (M) 2:13:39 8 8 / 7 M25-29 KEN BQ
7,Abera Kuma (M) 2:13:44 9 9 / 8 M25-29 ETH BQ
8,Fernando Cabada (M) 2:15:36 10 10 / 2 M30-34 USA BQ
9,Liam Adams (M) 2:16:29 11 11 / 9 M25-29 AUS BQ
10,Malcolm Richards (M) 2:16:41 12 12 / 3 M30-34 USA BQ
11,Scott Wietecha (M) 2:17:02 13 13 / 4 M30-34 USA BQ
12,Rob Watson (M) 2:17:21 14 14 / 5 M30-34 Canada BQ
13,Tony Migliozzi (M) 2:17:44 15 15 / 10 M25-29 USA BQ
14,"Chris Lemon (M) 2:18:06 16 16 / 11 M25-29 Springfield, OH, USA BQ"
15,"Zach Ripley (M) 2:18:26 17 17 / 12 M25-29 Rockford, MI, USA BQ"
16,Scott Macpherson (M) 2:18:34 18 18 / 13 M25-29 USA BQ
17,Ethan Shaw (M) 2:19:33 19 19 / 14 M25-29 USA BQ
18,"Patrick Geoghegan (M) 2:19:38 20 20 / 15 M25-29 Portland, OR, USA BQ"
19,Satoshi Yoshii (M) 2:20:33 21 21 / 6 M30-34 JPN BQ
20,Shogo Kanezane (M) 2:20:40 22 22 / 16 M25-29 JPN BQ
21,"Adam Bohach (M) 2:20:58 23 23 / 7 M30-34 Decorah, IA, USA BQ"
22,"Cesar Lizano (M) 2:21:09 24 24 / 8 M30-34 Commerce City, CRC BQ"
23,"Kevin Havel (M) 2:21:57 25 25 / 17 M25-29 Chicago, IL, USA BQ"
24,"Donovan Fellows (M) 2:22:05 26 26 / 1 M35-39 Lake Elmo, MN, USA BQ"
25,"Tyler Jermann (M) 2:22:26 27 27 / 1 M20-24 Flagstaff, AZ, USA BQ"
26,"Andy Williams (M) 2:22:54 28 28 / 18 M25-29 Wolcottville, IN, USA BQ"
27,Brandon Mull (M) 2:22:54 29 29 / 19 M25-29 USA BQ
28,Mohamed Hrezi (M) 2:23:14 30 30 / 2 M20-24 USA BQ
29,"Ryan McGuire (M) 2:23:18 31 31 / 9 M30-34 Middleburg, PA, USA BQ"
30,"Ramiro Guillen (M) 2:23:33 32 32 / 10 M30-34 Goleta, CA, USA BQ"
31,Florence Kiplagat (F) 2:23:33 33 1 / 1 F25-29 KEN BQ
32,Christopher Pannone (M) 2:23:38 34 33 / 20 M25-29 USA BQ
33,Yebrgual Melese (F) 2:23:43 35 2 / 2 F25-29 ETH BQ
34,"Matt Barrett (M) 2:23:43 36 34 / 21 M25-29 Verona, WI, USA BQ"
35,"Nathan Peters (M) 2:24:02 37 35 / 22 M25-29 Salt Lake City, UT, USA BQ"
36,"Jaime Julia (M) 2:24:03 38 36 / 11 M30-34 Albany, NY, USA BQ"
37,"Jonnathan Varela (M) 2:24:13 39 37 / 2 M35-39 San Jose, CRC BQ"
38,Birhane Dibaba (F) 2:24:24 40 3 / 1 F20-24 ETH BQ
39,Kayoko Fukushi (F) 2:24:25 41 4 / 1 F30-34 JPN BQ
40,"Teage O'Connor (M) 2:24:31 42 38 / 12 M30-34 Burlington, VT, USA BQ"
41,Christian Thompson (M) 2:24:36 43 39 / 23 M25-29 USA BQ
42,Mulu Seboka (F) 2:24:40 44 5 / 2 F30-34 ETH BQ
43,Dan Kremske (M) 2:24:42 45 40 / 24 M25-29 USA BQ
44,"Eric Wallor (M) 2:24:59 46 41 / 13 M30-34 Palatine, IL, USA BQ"
45,"Rex Shields (M) 2:25:09 47 42 / 25 M25-29 Provo, UT, USA BQ"
46,Meskerem Assefa (F) 2:25:11 48 6 / 3 F30-34 ETH BQ
47,"Elvin Cu Cacao (M) 2:25:22 49 43 / 3 M20-24 Guatemala, GUA BQ"
48,"Tyler Eustance (M) 2:25:26 50 44 / 4 M20-24 Binghamton, NY, USA BQ"
49,"Thomas Briot (M) 2:25:29 51 45 / 14 M30-34 Montreal, QC, Canada BQ"
50,"David Petrak (M) 2:25:50 52 46 / 26 M25-29 Aurora, OH, USA BQ"
51,"Yon Yilma (M) 2:25:57 53 47 / 27 M25-29 Edmonds, WA, USA BQ"
52,"Keith Bechtol (M) 2:26:13 54 48 / 15 M30-34 Madison, WI, USA BQ"
53,"Matthew Davy (M) 2:26:21 55 49 / 16 M30-34 Mount Eliza, VIC, AUS BQ"
54,"Riley Cook (M) 2:26:26 56 50 / 17 M30-34 South Weber, UT, USA BQ"
55,"Matthew Beamer (M) 2:26:39 57 51 / 28 M25-29 Chicago, IL, USA BQ"
56,"Ryan Root (M) 2:26:46 58 52 / 5 M20-24 Champaign, IL, USA BQ"
57,"Daniel Glaz (M) 2:26:55 59 53 / 18 M30-34 Chicago, IL, USA BQ"
58,"Michael Kettler (M) 2:27:13 60 54 / 3 M35-39 Boulder, CO, USA BQ"
59,"Alex Russeau (M) 2:27:28 61 55 / 29 M25-29 Dundee, MI, USA BQ"
60,"Nick Hird (M) 2:27:29 62 56 / 19 M30-34 Naperville, IL, USA BQ"
61,"Brian Finnel (M) 2:27:33 63 57 / 30 M25-29 Madison, WI, USA BQ"
62,"Joel Hamilton (M) 2:27:37 64 58 / 20 M30-34 Golden, CO, USA BQ"
63,"J Penny (M) 2:27:38 65 59 / 31 M25-29 Johnson City, TN, USA BQ"
64,"Wesley Turner (M) 2:27:45 66 60 / 32 M25-29 Danville, VA, USA BQ"
65,Deena Kastor (F) 2:27:47 67 7 / 1 F40-44 USA BQ
66,"Zac Newman (M) 2:28:03 68 61 / 21 M30-34 Richmond, VICTORIA, AUS BQ"
67,"Bryan Sharkey (M) 2:28:11 69 62 / 33 M25-29 Miami, FL, USA BQ"
68,"Nick Edinger (M) 2:28:20 70 63 / 6 M20-24 Kent, OH, USA BQ"
69,"Erik Hanson (M) 2:28:21 71 64 / 34 M25-29 Moorhead, MN, USA BQ"
70,"Tommy Jr. Ries (M) 2:28:24 72 65 / 35 M25-29 Woodstock, IL, USA BQ"
71,"Emisael Favela (M) 2:28:24 73 66 / 4 M35-39 Berwyn, IL, USA BQ"
72,"Sean Watson (M) 2:28:35 74 67 / 36 M25-29 San Francisco, CA, USA BQ"
73,"Jordan Lerma (M) 2:28:44 75 68 / 7 M20-24 Keaau, HI, USA BQ"
74,Diane Nukuri (F) 2:29:13 76 8 / 4 F30-34 BDI BQ
75,"Luis Rivero (M) 2:29:16 77 69 / 37 M25-29 Guatemala, GUA BQ"
76,"Scott Johnson (M) 2:29:31 78 70 / 22 M30-34 Ames, IA, USA BQ"
77,"Jesus Campos (M) 2:29:54 79 71 / 23 M30-34 Fresno, CA, USA BQ"
78,Jessica Draskau Petersson (F) 2:30:07 80 9 / 1 F35-39 DEN BQ
79,"Sam Bradley (M) 2:30:13 81 72 / 38 M25-29 Peoria, IL, USA BQ"
80,"Mynor Lopez (M) 2:30:28 82 73 / 24 M30-34 Quetzaltenango, GUA BQ"
81,"Damon Valenzona (M) 2:30:28 83 74 / 39 M25-29 San Diego, CA, USA BQ"
82,"Lane Boyer (M) 2:30:42 84 75 / 40 M25-29 Houston, TX, USA BQ"
83,"William Vanos (M) 2:30:52 85 76 / 1 M40-44 Orlando, FL, USA BQ"
84,"Jackson Neff (M) 2:30:52 86 77 / 8 M20-24 Cincinnati, OH, USA BQ"
85,"Ben Schneider (M) 2:30:57 87 78 / 25 M30-34 Minneapolis, MN, USA BQ"
86,"Logan Beausoleil (M) 2:31:05 88 79 / 41 M25-29 Davenport, IA, USA BQ"
87,"Bobby Torphy (M) 2:31:10 89 80 / 42 M25-29 Denver, CO, USA BQ"
88,Sara Hall (F) 2:31:14 90 10 / 5 F30-34 USA BQ
89,"Mike Knutson (M) 2:31:25 91 81 / 5 M35-39 Baker City, OR, USA BQ"
90,"Mitch Vanbruggen (M) 2:31:28 92 82 / 43 M25-29 Sunnyvale, CA, USA BQ"
91,"Patrick Kuhlmann (M) 2:31:28 93 83 / 2 M40-44 Washington, DC, USA BQ"
92,Susan Partridge (F) 2:31:31 94 11 / 2 F35-39 GBR BQ
93,"Matthew Wilber (M) 2:31:47 95 84 / 26 M30-34 Corning, NY, USA BQ"
94,"Joseph Norton (M) 2:31:53 96 85 / 27 M30-34 Cherry Hill, NJ, USA BQ"
95,"Shohei Tomita (M) 2:32:02 97 86 / 9 M20-24 Kyoto, JPN BQ"
96,"Lupe Cabada (M) 2:32:11 98 87 / 44 M25-29 Reno, NV, USA BQ"
97,"Justin Kurek (M) 2:32:17 99 88 / 6 M35-39 Calgary, AB, Canada BQ"
98,"Mike Danaher (M) 2:32:26 100 89 / 10 M20-24 Nashua, NH, USA BQ"
0,Chris Erichsen (M) 2:32:33 101 90 / 45 M25-29 USA BQ
1,"Francis Eanes (M) 2:32:40 102 91 / 46 M25-29 Madison, WI, USA BQ"
2,"Ethan Wood (M) 2:32:43 103 92 / 11 M20-24 Lemont, IL, USA BQ"
3,"Nate Hatleback (M) 2:32:46 104 93 / 47 M25-29 Denver, CO, USA BQ"
4,"James Akita (M) 2:32:50 105 94 / 7 M35-39 Elmhurst, IL, USA BQ"
5,Sarah Crouch (F) 2:32:51 106 12 / 3 F25-29 USA BQ
6,"Tyler Dudley (M) 2:32:53 107 95 / 48 M25-29 West Linn, OR, USA BQ"
7,"Bryan Huberty (M) 2:32:53 108 96 / 8 M35-39 Miami Beach, FL, USA BQ"
8,"Alexander Looi (M) 2:32:56 109 97 / 49 M25-29 Ithaca, NY, USA BQ"
9,"Daniel Woldesilassie (M) 2:33:11 110 98 / 12 M20-24 Wheaton, IL, USA BQ"
10,"Greg Hutson (M) 2:33:12 111 99 / 50 M25-29 St. Louis, MO, USA BQ"
11,Fionnuala Britton (F) 2:33:15 112 13 / 6 F30-34 IRL BQ
12,"Cameron Rieger (M) 2:33:20 113 100 / 13 M20-24 Mundelein, IL, USA BQ"
13,"Ian Neill (M) 2:33:25 114 101 / 28 M30-34 Cambridge, MA, USA BQ"
14,"Rich Heffron (M) 2:33:29 115 102 / 29 M30-34 Chicago, IL, USA BQ"
15,"Daniel Kittaka (M) 2:33:29 116 103 / 51 M25-29 Chicago, IL, USA BQ"
16,"Alexander Tyner (M) 2:33:41 117 104 / 14 M20-24 Rancho Santa Fe, CA, USA BQ"
17,"Brett Burdick (M) 2:33:46 118 105 / 15 M20-24 Chicago, IL, USA BQ"
18,"Brian Denny (M) 2:33:52 119 106 / 52 M25-29 Cincinnati, OH, USA BQ"
19,"Chris Duncan (M) 2:33:54 120 107 / 9 M35-39 Brentwood, TN, USA BQ"
